@relation contraceptive-10-6tst.dat
@attribute Wife_age real [16.0, 49.0]
@attribute Wife_education real [1.0, 4.0]
@attribute Husband_education real [1.0, 4.0]
@attribute Children real [0.0, 16.0]
@attribute Wife_religion real [0.0, 1.0]
@attribute Wife_working real [0.0, 1.0]
@attribute Husband_occupation real [1.0, 4.0]
@attribute Standard-of-living real [1.0, 4.0]
@attribute Media_exposure real [0.0, 1.0]
@attribute Contraceptive_method integer [1, 3]
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure
@outputs Contraceptive_method
@data
0.6333333333333333, 0.6666666666666667, 1.0, 0.18181818181818182, 1.0, 1.0, 0.3333333333333333, 0.6666666666666667, 0.0, 1
0.20000000000000007, 0.6666666666666667, 0.6666666666666667, 0.36363636363636365, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.7, 0.6666666666666667, 1.0, 0.7272727272727273, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.8, 1.0, 1.0, 0.4545454545454546, 1.0, 0.0, 0.0, 1.0, 0.0, 1
0.6000000000000001, 0.6666666666666667, 1.0, 0.6363636363636364, 1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 1
0.3666666666666667, 0.3333333333333333, 0.6666666666666667, 0.2727272727272727, 1.0, 1.0, 0.6666666666666667, 0.0, 0.0, 1
0.33333333333333337, 0.3333333333333333, 0.6666666666666667, 0.09090909090909091, 1.0, 1.0, 0.0, 0.0, 0.0, 1
0.33333333333333337, 0.3333333333333333, 0.6666666666666667, 0.09090909090909091, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 1
0.33333333333333337, 1.0, 1.0, 0.0, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, 1
0.2666666666666667, 0.3333333333333333, 1.0, 0.36363636363636365, 1.0, 1.0, 0.0, 1.0, 0.0, 1
0.5, 1.0, 1.0, 0.2727272727272727, 0.0, 0.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.033333333333333326, 0.3333333333333333, 0.6666666666666667, 0.09090909090909091, 0.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.3666666666666667, 1.0, 1.0, 0.0, 0.0, 0.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.06666666666666665, 0.0, 0.6666666666666667, 0.36363636363636365, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
